number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
69,0.6868554591586185,2026-03-14 13:13:32.382780,2026-03-14 13:14:53.422066,0 days 00:01:21.039286,128,0.46549928232177246,512,0.00012221565461597856,4,1.430597150383566e-06,PRUNED
70,0.7060075298739564,2026-03-14 13:14:53.423109,2026-03-14 13:15:53.186632,0 days 00:00:59.763523,128,0.014695579802784724,128,0.00014564350009349067,3,4.549628666384249e-06,PRUNED
71,0.7659191357014241,2026-03-14 13:15:53.187641,2026-03-14 13:20:10.946070,0 days 00:04:17.758429,128,0.0025949238263285393,512,0.00019241576559316347,3,1.2790279946328544e-06,PRUNED
72,0.7022425928957277,2026-03-14 13:20:10.947194,2026-03-14 13:21:20.668219,0 days 00:01:09.721025,128,0.0005140851519527152,512,0.00018250247599740474,3,1.255670594346411e-06,PRUNED
73,0.6708135537731216,2026-03-14 13:21:20.669236,2026-03-14 13:22:31.146749,0 days 00:01:10.477513,128,0.04759381712098576,512,0.009793540042089462,3,1.0137773993311338e-06,PRUNED
74,0.7430021280078573,2026-03-14 13:22:31.148565,2026-03-14 13:24:58.746827,0 days 00:02:27.598262,128,0.021802546201307716,512,0.00011911732217704874,3,2.440387680490915e-06,PRUNED
75,0.7038795220166967,2026-03-14 13:24:58.747714,2026-03-14 13:26:22.664193,0 days 00:01:23.916479,128,0.03138014384689422,512,0.00023582068946986686,3,1.931646632090236e-06,PRUNED
76,0.7444753642167294,2026-03-14 13:26:22.665072,2026-03-14 13:28:44.673154,0 days 00:02:22.008082,128,0.013809945190324358,256,0.00013972615001019349,2,3.0745280329105913e-06,PRUNED
77,0.710263545588476,2026-03-14 13:28:44.674240,2026-03-14 13:29:43.577668,0 days 00:00:58.903428,256,0.07861991185964885,512,0.0002732777102345843,3,7.175321191721123e-06,PRUNED
78,0.7055164511376657,2026-03-14 13:29:43.578557,2026-03-14 13:31:04.756960,0 days 00:01:21.178403,128,0.22529283656123433,512,0.00020365088848652994,4,1.466729405713757e-06,PRUNED
79,0.6865280733344247,2026-03-14 13:31:04.757949,2026-03-14 13:32:03.845360,0 days 00:00:59.087411,128,0.057405219727561636,64,0.0001694514928890658,3,1.1635099069230964e-06,PRUNED
80,0.7061712227860534,2026-03-14 13:32:03.846327,2026-03-14 13:33:13.495805,0 days 00:01:09.649478,128,0.29740810272725604,512,0.00010012075771735514,3,1.6265993336709041e-06,PRUNED
81,0.7318710099852677,2026-03-14 13:33:13.496809,2026-03-14 13:35:56.205677,0 days 00:02:42.708868,64,0.04465399753002936,512,0.00036128050094101194,3,1.177436576203566e-06,PRUNED
82,0.7628089703715829,2026-03-14 13:35:56.206728,2026-03-14 13:41:30.156198,0 days 00:05:33.949470,64,0.02917025372538884,512,0.00015492512100960851,3,2.4362916312883682e-06,PRUNED
83,0.7405467343264037,2026-03-14 13:41:30.157176,2026-03-14 13:44:50.912360,0 days 00:03:20.755184,64,0.010356182954352654,512,0.00011512795389128292,3,1.979068306506819e-06,PRUNED
84,0.7641185136683581,2026-03-14 13:44:50.913340,2026-03-14 13:50:44.828710,0 days 00:05:53.915370,64,0.09910640666609452,512,0.0001326747901799643,3,1.487235145467508e-06,PRUNED
85,0.7181208053691275,2026-03-14 13:50:44.829686,2026-03-14 13:52:08.218175,0 days 00:01:23.388489,128,0.07893764544532923,512,0.00018317055418935545,3,3.60506690839824e-06,PRUNED
86,0.7066623015223441,2026-03-14 13:52:08.219096,2026-03-14 13:53:31.767036,0 days 00:01:23.547940,128,0.06067844398960043,512,0.0002268225211128421,3,1.845434566292584e-06,PRUNED
87,0.7009330495989524,2026-03-14 13:53:31.767895,2026-03-14 13:54:20.474568,0 days 00:00:48.706673,256,0.04268498652640693,512,0.000273619956162635,2,1.132312424311699e-06,PRUNED
88,0.6713046325094123,2026-03-14 13:54:20.475473,2026-03-14 13:55:56.329292,0 days 00:01:35.853819,64,0.026641292947687523,512,0.007805675130862371,3,4.9960527071941115e-05,PRUNED
89,0.7107546243247668,2026-03-14 13:55:56.330310,2026-03-14 13:57:03.230127,0 days 00:01:06.899817,128,0.0119208587563852,256,0.00011438493653733168,4,0.00023241576957748507,PRUNED
90,0.7068259944344409,2026-03-14 13:57:03.231056,2026-03-14 13:58:02.887820,0 days 00:00:59.656764,128,0.10578980423573825,128,0.00016782393361344203,3,2.7397184699786227e-06,PRUNED
91,0.776559174987723,2026-03-14 13:58:02.888956,2026-03-14 14:03:51.531433,0 days 00:05:48.642477,128,0.001168763934821345,512,0.00011065318882529481,3,2.6504820409938433e-05,COMPLETE
92,0.7169749549844492,2026-03-14 14:03:51.532434,2026-03-14 14:05:15.108645,0 days 00:01:23.576211,128,0.02763750371759438,512,0.0001316777156068914,3,9.28538420583649e-05,PRUNED
93,0.7303977737763955,2026-03-14 14:05:15.109682,2026-03-14 14:07:41.044605,0 days 00:02:25.934923,128,0.013668110676572191,512,0.00015258448001263632,3,2.303081442288397e-06,PRUNED
94,0.7133737109183172,2026-03-14 14:07:41.045759,2026-03-14 14:09:04.657556,0 days 00:01:23.611797,128,0.03691848720778444,512,0.00019843179422848745,3,1.0805085242557662e-05,PRUNED
95,0.699787199214274,2026-03-14 14:09:04.658577,2026-03-14 14:10:28.106891,0 days 00:01:23.448314,128,0.0005885248053569513,512,0.00010474077289973791,3,1.5820153692566173e-06,PRUNED
96,0.7087903093796039,2026-03-14 14:10:28.107883,2026-03-14 14:11:37.665840,0 days 00:01:09.557957,128,0.1464350025897208,512,0.0001265318505748444,3,3.245715322321983e-06,PRUNED
97,0.6524799476182681,2026-03-14 14:11:37.666834,2026-03-14 14:12:59.139155,0 days 00:01:21.472321,128,0.36536196934881354,64,0.00014615816724359692,6,1.4133275668792128e-05,PRUNED
98,0.7092813881158946,2026-03-14 14:12:59.140340,2026-03-14 14:14:32.391383,0 days 00:01:33.251043,128,0.052753052273919535,512,0.00011098650790084509,5,1.3592517754542813e-06,PRUNED
99,0.7289245375675233,2026-03-14 14:14:32.392393,2026-03-14 14:17:14.735048,0 days 00:02:42.342655,64,0.019362633166272868,512,0.00014169698743054433,3,2.0937997236927634e-06,PRUNED
