number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
89,0.762307095439262,2026-03-04 13:22:51.887399,2026-03-04 13:24:31.941006,0 days 00:01:40.053607,64,0.05576469556525159,256,0.005917100978591807,2,2.8243914982829694e-05,PRUNED
90,0.7380808690404346,2026-03-04 13:24:31.942177,2026-03-04 13:25:37.166026,0 days 00:01:05.223849,128,0.03646133980163148,512,0.00032210844697687596,2,8.925832406206999e-06,PRUNED
91,0.7591171652728683,2026-03-04 13:25:37.167060,2026-03-04 13:27:35.827864,0 days 00:01:58.660804,64,0.02587198845457348,512,0.0014127311804652978,2,2.0323155663189334e-05,PRUNED
92,0.8108457625657384,2026-03-04 13:27:35.828728,2026-03-04 13:34:39.682841,0 days 00:07:03.854113,64,0.008818601255696206,512,0.0023434739276130268,2,1.2254480372885989e-05,COMPLETE
93,0.7712733856366928,2026-03-04 13:34:39.683867,2026-03-04 13:37:20.926630,0 days 00:02:41.242763,64,0.04703020825115599,512,0.0029264573223850487,2,3.632744207955891e-05,PRUNED
94,0.8143805500474178,2026-03-04 13:37:20.927626,2026-03-04 13:44:24.658275,0 days 00:07:03.730649,64,0.01286503758788798,512,0.0017871280532451978,2,1.6302598189726175e-05,COMPLETE
95,0.7554961634623675,2026-03-04 13:44:24.659206,2026-03-04 13:45:49.295052,0 days 00:01:24.635846,64,0.013374152120481106,512,0.0010476352557236652,2,1.614438622999643e-05,PRUNED
96,0.7602379515475473,2026-03-04 13:45:49.296065,2026-03-04 13:47:48.483225,0 days 00:01:59.187160,64,0.06351957045018133,512,0.0020697997083686014,2,2.6103681537779775e-05,PRUNED
97,0.7449780153461505,2026-03-04 13:47:48.484307,2026-03-04 13:49:16.782446,0 days 00:01:28.298139,64,0.038124796649578574,64,0.0012674972186469914,3,5.152214261381247e-05,PRUNED
98,0.7405810845762566,2026-03-04 13:49:16.783402,2026-03-04 13:50:13.292916,0 days 00:00:56.509514,256,0.17130651889553916,512,0.0008119630621043081,2,8.727109638092548e-05,PRUNED
99,0.7596344512457971,2026-03-04 13:50:13.293902,2026-03-04 13:52:03.616424,0 days 00:01:50.322522,64,0.2594683146552339,512,0.0017234410731680695,2,9.704060880717392e-06,PRUNED
